"","X0"
"1",4168.28497364626
"2",4176.6676054779
"3",4283.92053186394
"4",4474.21155632894
"5",4151.28289796289
"6",4134.7650231245
"7",4136.84459080607
"8",4133.79984496611
"9",4394.46760675163
"10",4378.84281615675
"11",4325.39552843504
"12",4271.15865961779
"13",4177.79419250481
"14",4297.96259996863
"15",4359.17639186211
"16",4349.2906512746
"17",4310.90711242003
"18",4386.32335242106
"19",4398.75696848121
"20",4458.33878780509
"21",4155.11934906786
"22",4141.72551805748
"23",4156.78144774847
"24",4139.39842107339
"25",4124.45314146295
"26",4148.33863306433
"27",4161.04033894
"28",4158.10365682564
"29",4142.19179255481
"30",4129.85457342085
"31",4123.95538145742
"32",4139.5527125863
"33",4149.00677851277
"34",4149.15524741101
"35",4182.94341924642
"36",4209.16009380107
"37",4193.11387054555
"38",4145.79359327527
"39",4146.48493984496
"40",4173.0949052184
"41",4125.89903332295
"42",4140.08963251095
"43",4152.29887869385
"44",4203.05864543435
"45",4152.38242288635
"46",4213.05581467636
"47",4201.83975656504
"48",4190.31583683512
"49",4138.76637297306
"50",4203.80415296612
"51",4189.85862384418
"52",4146.57655077677
"53",4149.27591043436
"54",4172.37015429054
"55",4186.1690092497
"56",4185.4769589903
"57",4149.17084390927
"58",4133.97854375321
"59",4147.13724041044
"60",4137.71991529851
"61",4176.55933477254
"62",4195.42517264462
"63",4214.54367444984
"64",4187.79720384653
"65",4233.70599686626
"66",4193.37351626162
"67",4168.69582630281
"68",4184.78766694274
"69",4125.57414274883
"70",4122.10900762024
"71",4159.71453018159
"72",4177.63532903678
"73",4172.24873517848
"74",4126.72198949126
"75",4120.0744422765
"76",4119.01728453888
"77",4117.540330854
"78",4150.7588213063
"79",4134.89674347114
"80",4126.28753666819
"81",4160.71672291399
"82",4151.16867044581
"83",4136.27075174437
"84",4139.16304935617
"85",4141.04058054568
"86",4134.52096563136
"87",4131.41942663054
"88",4122.01013933227
"89",4129.60008955642
"90",4132.58534967413
"91",4135.18654901411
"92",4146.28886634087
"93",4155.86516005306
"94",4133.51030667184
"95",4145.53285257535
"96",4136.26112166876
"97",4135.98358761758
"98",4130.16927712861
"99",4125.68782289046
"100",4127.46528085453
"101",4216.44343131287
"102",4301.66032643452
"103",4294.57797448991
"104",4243.86600642325
"105",4284.65445668357
"106",4336.62021407148
"107",4362.26296684486
"108",4236.94336916282
"109",4142.88882014606
"110",4149.00663794851
"111",4140.92560183592
"112",4132.02297420507
"113",4290.70703267193
"114",4358.74209555379
"115",4349.61280069556
"116",4368.99832275127
"117",4191.47557986352
"118",4172.03583544284
"119",4188.40601230372
"120",4184.00283643536
"121",4128.28554431467
"122",4125.46493173255
"123",4130.48080292527
"124",4126.67620402852
"125",4211.24046826142
"126",4169.49871367391
"127",4205.08844423929
"128",4217.03953140953
"129",4135.78916013644
"130",4135.18268667409
"131",4138.04569935967
"132",4147.47465502414
"133",4134.44132205804
"134",4147.08964449755
"135",4145.55355789048
"136",4156.38960572664
"137",4130.64870674293
"138",4125.12699372579
"139",4122.91921667696
"140",4215.2874553652
"141",4270.61273375175
"142",4217.57602361937
"143",4237.86844594062
"144",4301.04443344543
"145",4134.00096078285
"146",4136.56351442298
"147",4141.67317683366
"148",4144.15113408103
"149",4127.30378602281
"150",4152.37529774747
"151",4139.2663992758
"152",4179.97928463482
"153",4196.82239537306
"154",4171.10724085674
"155",4147.61814125936
"156",4157.09513675151
"157",4157.75332093843
"158",4163.24779660315
"159",4141.41268024621
"160",4126.0353994097
"161",4141.49607823597
"162",4150.34335644505
"163",4143.35282676046
"164",4123.98996735873
"165",4135.83932690466
"166",4136.12668452024
"167",4133.91388628734
"168",4134.93631448536
"169",4195.56697269217
"170",4195.65822889773
"171",4186.92115110701
"172",4157.72550103407
"173",4167.70770448199
"174",4165.72169217315
"175",4164.42792689064
"176",4179.20622722904
"177",4140.08651732847
"178",4144.98859123125
"179",4151.5365677186
"180",4146.68112214103
"181",4256.76315024125
"182",4253.61804564167
"183",4217.54400689779
"184",4221.31195318036
"185",4158.91967907484
"186",4148.78784686428
"187",4138.79435626297
"188",4132.6907427923
"189",4180.07318540117
"190",4207.28147264646
"191",4193.3705606339
"192",4185.66367460245
"193",4179.79183267166
"194",4186.06105234012
"195",4177.93219759851
"196",4152.83130965548
"197",4202.32019576167
"198",4185.42191478162
"199",4147.70216763104
"200",4158.50692927026
