"","X1"
"1",1.79769313486232e+308
"2",4118.52817639261
"3",4209.70581637587
"4",4327.36417731708
"5",4213.87667929606
"6",4152.14463048844
"7",4123.53407947809
"8",4126.35378053608
"9",4324.71282021778
"10",4290.296203485
"11",4381.74213375158
"12",4271.09747023906
"13",1.79769313486232e+308
"14",4252.16340665372
"15",4288.7115450251
"16",4252.54499149639
"17",4246.00331262959
"18",4363.33980398045
"19",4298.40956950145
"20",4391.50903386202
"21",4134.67885248282
"22",4130.75880947961
"23",4112.22339919601
"24",4115.7773047528
"25",4123.08871660962
"26",4116.02581350125
"27",4128.81518192243
"28",4154.17466119371
"29",4148.67896149105
"30",4137.61567230709
"31",4161.30154818393
"32",4224.98656615336
"33",4206.60892644077
"34",4142.39100865006
"35",4165.03029301158
"36",4287.74626195446
"37",4107.74640673783
"38",4106.51480849553
"39",4162.18959379408
"40",4232.94602165168
"41",4114.85339964549
"42",4125.39690852708
"43",4172.00940153709
"44",4138.32563100767
"45",4192.72851466816
"46",4199.75261834683
"47",4146.28898172398
"48",4105.75245633682
"49",4166.95790728677
"50",4191.32427546735
"51",4142.04005443891
"52",4107.32943174943
"53",4126.97448313041
"54",4112.9529990382
"55",4110.75343975218
"56",4120.25250896122
"57",4240.70086030732
"58",4163.99443284263
"59",4125.64802248311
"60",4116.30847040001
"61",4273.70261680113
"62",4300.49678919887
"63",4297.50718098788
"64",4327.44875804846
"65",4114.60001049999
"66",4118.32793024964
"67",4114.17430123397
"68",4110.62774586543
"69",4136.67065498877
"70",4112.37547244262
"71",4132.9205181279
"72",4221.2499563301
"73",1.79769313486232e+308
"74",4142.79122190909
"75",4118.09171534763
"76",4125.91113376829
"77",1.79769313486232e+308
"78",1.79769313486232e+308
"79",1.79769313486232e+308
"80",1.79769313486232e+308
"81",4186.25646919439
"82",4201.6748921749
"83",4207.22653632429
"84",4159.39464486379
"85",4110.35190290171
"86",4116.58214924485
"87",4109.87069136945
"88",4114.09531807972
"89",4091.84959637074
"90",4138.702465463
"91",4104.24363274083
"92",4118.59424395725
"93",4119.0618950842
"94",4124.25665539486
"95",4149.29219167297
"96",4126.33449583761
"97",4225.06236287285
"98",4197.23575820499
"99",4141.78009604218
"100",4117.29087548889
"101",4112.72751789285
"102",4160.24866731215
"103",4185.61149792557
"104",4171.73732210703
"105",4162.69035741035
"106",4124.66477150167
"107",4140.18648396405
"108",4118.64998258921
"109",4117.23929299772
"110",4149.80983250603
"111",4122.96077971693
"112",4113.12090123852
"113",4127.74534173992
"114",4167.31037125791
"115",4152.18113059789
"116",4112.52131343683
"117",4204.10314517705
"118",4180.52233556746
"119",4171.99716531927
"120",4127.07792545981
"121",4126.99016559143
"122",4108.5905242962
"123",4120.42991683037
"124",4198.57670312381
"125",4151.65019322332
"126",4113.70981819648
"127",4113.88224568682
"128",4112.03259421126
"129",4138.24434811104
"130",4108.16634421167
"131",4118.03507957175
"132",4114.38340876423
"133",4110.03825065212
"134",4109.15226582225
"135",4117.97512908005
"136",4135.86229804305
"137",4113.98927356441
"138",4133.77988870017
"139",4129.54202341158
"140",4235.93401911424
"141",4195.77457270474
"142",4176.29117254988
"143",4156.27247137106
"144",4207.9705248022
"145",4123.63271755654
"146",4116.32966895234
"147",4119.40023027919
"148",4114.61513716565
"149",4107.49311239371
"150",4175.75460886786
"151",4138.52951723335
"152",4199.62941529537
"153",4213.9945172903
"154",4189.97628625591
"155",4114.59583516147
"156",4206.08361162249
"157",4250.99471361151
"158",4124.39275701338
"159",4112.67215455259
"160",4198.34541715145
"161",4123.79813258205
"162",4137.705816016
"163",4129.07470222056
"164",4168.64340054886
"165",4112.75166983085
"166",4109.6381664779
"167",4104.33034704207
"168",4112.9219525618
"169",4260.32270076997
"170",4236.61515995078
"171",4179.54888075835
"172",4171.04939253893
"173",4146.26478586897
"174",4169.60438026477
"175",4200.9691484542
"176",4229.96717378085
"177",4145.79085123035
"178",4171.15199202397
"179",4275.1636502461
"180",4178.86277463477
"181",4196.56662349332
"182",4146.01269829329
"183",4154.85333959432
"184",4110.46799177658
"185",4140.23255385261
"186",4122.11697397495
"187",4142.13182007021
"188",4127.54479922314
"189",4146.10606748217
"190",4103.45083679435
"191",4132.61582722725
"192",4243.22282946625
"193",4121.82674318245
"194",4111.47101724168
"195",4123.47704750585
"196",4161.96823149916
"197",4115.41429382134
"198",4113.14202843214
"199",4117.72909942523
"200",4119.72371960959
"201",4166.88471830085
"202",4186.74258349017
"203",4292.23074335127
"204",4474.2167370069
"205",4130.63683077613
"206",4130.16284090185
"207",4131.73000822945
"208",4134.97373253071
"209",4376.60721874392
"210",4370.39634874858
"211",4320.13187210325
"212",4279.13309164323
"213",4213.0553531047
"214",4325.24729102247
"215",4346.67526335082
"216",4338.7511518924
"217",4319.43925339908
"218",4371.84591918973
"219",4385.14597245606
"220",4420.09326062282
"221",4146.42503647692
"222",4132.59107611921
"223",4156.23372444923
"224",4134.32411304022
"225",4116.30973856455
"226",4140.06969981337
"227",4142.03907185106
"228",4140.95085693301
"229",4139.35161172985
"230",4119.44253125907
"231",4112.54979154679
"232",4118.47605064207
"233",4129.98716475614
"234",4139.62583905247
"235",4163.65188972458
"236",4176.55670194878
"237",4187.60681460165
"238",4138.00451425061
"239",4130.22717144306
"240",4146.91455221713
"241",4129.57436676244
"242",4139.83577645212
"243",4142.17759837549
"244",4201.9395820806
"245",4159.14743101613
"246",4218.77478648866
"247",4203.92123362871
"248",4204.48608485026
"249",4147.06090952978
"250",4216.62594518797
"251",4196.01588149885
"252",4145.52161889007
"253",4134.40308381252
"254",4159.68066522416
"255",4168.42214349728
"256",4170.56736570962
"257",4125.30191005229
"258",4126.49189730155
"259",4137.3650128932
"260",4124.84478382997
"261",4158.16746349125
"262",4191.93383874292
"263",4217.32256133864
"264",4172.16664575005
"265",4223.61359702026
"266",4192.65831987959
"267",4167.86180597641
"268",4173.08139854415
"269",4119.11457394485
"270",4112.17238684598
"271",4156.45158983286
"272",4158.13857266478
"273",4154.98832810586
"274",4125.61168995965
"275",4128.57372171186
"276",4118.65722580588
"277",1.79769313486232e+308
"278",4142.79768680234
"279",4127.62675779907
"280",4119.45273025952
"281",4150.77144749176
"282",4141.1864651887
"283",4124.90075471522
"284",4129.12904550541
"285",4129.67278390749
"286",4128.2531650581
"287",4126.59929752119
"288",4118.80342241265
"289",4121.04363423116
"290",4128.39918941475
"291",4126.86862678115
"292",4136.95343231238
"293",4140.31720596397
"294",4123.2798529515
"295",4132.55738595404
"296",4127.31697132677
"297",4122.27598674151
"298",4123.60366605601
"299",4120.77429775198
"300",4119.57069801147
"301",4229.04386569955
"302",4297.19331467286
"303",4276.03828870451
"304",4232.47548068877
"305",4298.94916220201
"306",4338.03573766366
"307",4361.57291871067
"308",4253.39410130159
"309",4140.63457113782
"310",4148.86709165093
"311",4133.98230475094
"312",4118.19022379143
"313",4302.72236763655
"314",4355.83965980515
"315",4336.41831825728
"316",4374.07186535429
"317",4165.07867181893
"318",4155.09088914423
"319",4171.85974615906
"320",4173.39707266696
"321",4118.54848596031
"322",4116.63715037658
"323",4119.46312939115
"324",4113.26453435307
"325",4185.23073092212
"326",4159.90155836661
"327",4199.98310708874
"328",4219.09158548519
"329",4131.61282936906
"330",4127.78057882142
"331",4124.10720404337
"332",4134.89029267587
"333",4117.63560834025
"334",4133.539941952
"335",4130.05442054429
"336",4147.87407528763
"337",4117.60483160039
"338",4111.88616032196
"339",4114.78367288509
"340",4188.92933670899
"341",4264.97964709008
"342",4205.1109004012
"343",4238.97032246351
"344",4295.75710470672
"345",4118.97059168704
"346",4127.06113217667
"347",4130.78365590681
"348",4133.79984047463
"349",4121.69456806926
"350",4150.20085917445
"351",4126.98628602924
"352",4159.95368471848
"353",4168.95059942025
"354",4160.7117220114
"355",4150.9857847585
"356",4194.57760254541
"357",4135.56906892215
"358",4163.61949387049
"359",4155.68754071158
"360",4138.10646103051
"361",4117.47768716778
"362",4128.93483869995
"363",4125.45846119448
"364",4111.53149107403
