"","X3"
"1",1.79769313486232e+308
"2",1.79769313486232e+308
"3",1.79769313486232e+308
"4",1.79769313486232e+308
"5",1.79769313486232e+308
"6",1.79769313486232e+308
"7",1.79769313486232e+308
"8",1.79769313486232e+308
"9",1.79769313486232e+308
"10",1.79769313486232e+308
"11",1.79769313486232e+308
"12",1.79769313486232e+308
"13",1.79769313486232e+308
"14",1.79769313486232e+308
"15",1.79769313486232e+308
"16",1.79769313486232e+308
"17",1.79769313486232e+308
"18",1.79769313486232e+308
"19",1.79769313486232e+308
"20",1.79769313486232e+308
"21",1.79769313486232e+308
"22",1.79769313486232e+308
"23",1.79769313486232e+308
"24",1.79769313486232e+308
"25",1.79769313486232e+308
"26",1.79769313486232e+308
"27",1.79769313486232e+308
"28",1.79769313486232e+308
"29",1.79769313486232e+308
"30",1.79769313486232e+308
"31",1.79769313486232e+308
"32",1.79769313486232e+308
"33",1.79769313486232e+308
"34",1.79769313486232e+308
"35",1.79769313486232e+308
"36",1.79769313486232e+308
"37",1.79769313486232e+308
"38",1.79769313486232e+308
"39",1.79769313486232e+308
"40",1.79769313486232e+308
"41",1.79769313486232e+308
"42",1.79769313486232e+308
"43",1.79769313486232e+308
"44",1.79769313486232e+308
"45",1.79769313486232e+308
"46",1.79769313486232e+308
"47",1.79769313486232e+308
"48",1.79769313486232e+308
"49",1.79769313486232e+308
"50",1.79769313486232e+308
"51",1.79769313486232e+308
"52",1.79769313486232e+308
"53",1.79769313486232e+308
"54",1.79769313486232e+308
"55",1.79769313486232e+308
"56",1.79769313486232e+308
"57",1.79769313486232e+308
"58",1.79769313486232e+308
"59",4114.63111609306
"60",1.79769313486232e+308
"61",1.79769313486232e+308
"62",1.79769313486232e+308
"63",1.79769313486232e+308
"64",1.79769313486232e+308
"65",1.79769313486232e+308
"66",1.79769313486232e+308
"67",1.79769313486232e+308
"68",1.79769313486232e+308
"69",1.79769313486232e+308
"70",1.79769313486232e+308
"71",1.79769313486232e+308
"72",1.79769313486232e+308
"73",1.79769313486232e+308
"74",1.79769313486232e+308
"75",1.79769313486232e+308
"76",1.79769313486232e+308
"77",1.79769313486232e+308
"78",1.79769313486232e+308
"79",1.79769313486232e+308
"80",1.79769313486232e+308
"81",1.79769313486232e+308
"82",1.79769313486232e+308
"83",1.79769313486232e+308
"84",1.79769313486232e+308
"85",1.79769313486232e+308
"86",1.79769313486232e+308
"87",1.79769313486232e+308
"88",1.79769313486232e+308
"89",1.79769313486232e+308
